model,hidden_layers,hidden_nodes,epochs,batch_size,learning_rate,weight_decay,train_acc,valid_acc,,,,,,,,,
3801,1,24,177,32,0.002,0,90.13452915,77.02702703,,,,,,,,,
4602,1,36,33,4,0.004,0,90.13452915,77.02702703,,,,,,,,,
4685,1,36,12,4,0.04,0,91.03139013,77.02702703,,,,,,,,,
4736,1,36,55,4,0.1,2.00E-05,90.58295964,77.02702703,,,,,,,,,
4943,1,36,13,8,0.08,0,92.37668161,77.02702703,,,,,,,,,
5046,1,36,230,16,0.001,1.00E-06,90.13452915,77.02702703,,,,,,,,,
5114,1,36,28,16,0.008,1.00E-05,91.03139013,77.02702703,,,,,,,,,
5389,1,36,20,32,0.02,1.00E-06,90.13452915,77.02702703,,,,,,,,,
6164,2,6,52,4,0.02,0,90.58295964,77.02702703,,,,,,,,,
6241,2,6,1499,8,0.0002,0,79.8206278,77.02702703,,,,,,,,,
6691,2,6,269,16,0.08,1.00E-05,91.47982063,77.02702703,,,,,,,,,
6720,2,6,268,16,0.1,2.00E-05,90.13452915,77.02702703,,,,,,,,,
6928,2,6,46,32,0.08,1.00E-06,90.58295964,77.02702703,,,,,,,,,
6941,2,6,519,32,0.1,0,91.03139013,77.02702703,,,,,,,,,
8128,2,24,54,4,0.08,1.00E-06,90.13452915,77.02702703,,,,,,,,,
8175,2,24,459,8,0.0002,1.00E-05,90.13452915,77.02702703,,,,,,,,,
8238,2,24,91,8,0.001,2.00E-05,90.13452915,77.02702703,,,,,,,,,
8243,2,24,47,8,0.002,0,90.13452915,77.02702703,,,,,,,,,
8415,2,24,610,16,0.0002,1.00E-05,90.13452915,77.02702703,,,,,,,,,
8461,2,24,116,16,0.001,0,90.13452915,77.02702703,,,,,,,,,
8725,2,24,81,32,0.002,0,90.13452915,77.02702703,,,,,,,,,
8778,2,24,28,32,0.008,2.00E-05,90.13452915,77.02702703,,,,,,,,,
8988,2,36,20,4,0.004,1.00E-06,91.03139013,77.02702703,,,,,,,,,
9118,2,36,115,4,0.1,2.00E-05,93.2735426,77.02702703,,,,,,,,,
9223,2,36,24,8,0.004,0,90.13452915,77.02702703,,,,,,,,,
9532,2,36,16,16,0.02,1.00E-05,95.96412556,77.02702703,,,,,,,,,
9544,2,36,17,16,0.04,0,90.58295964,77.02702703,,,,,,,,,
9800,2,36,17,32,0.04,2.00E-05,95.51569507,77.02702703,,,,,,,,,
9927,3,6,606,4,0.002,1.00E-06,91.92825112,77.02702703,,,,,,,,,
10207,3,6,475,8,0.008,1.00E-06,90.58295964,77.02702703,,,,,,,,,
10253,3,6,1499,8,0.02,1.00E-05,82.95964126,77.02702703,,,,,,,,,
10294,3,6,1499,8,0.08,1.00E-05,68.60986547,77.02702703,,,,,,,,,
10350,3,6,1499,16,0.0004,1.00E-06,86.5470852,77.02702703,,,,,,,,,
10371,3,6,1149,16,0.0008,1.00E-05,90.13452915,77.02702703,,,,,,,,,
10493,3,6,69,16,0.02,1.00E-05,90.13452915,77.02702703,,,,,,,,,
10615,3,6,1499,32,0.0008,1.00E-05,88.34080717,77.02702703,,,,,,,,,
10840,3,12,331,4,0.0004,2.00E-05,90.13452915,77.02702703,,,,,,,,,
11563,3,12,333,32,0.0008,0,90.13452915,77.02702703,,,,,,,,,
11860,3,24,39,4,0.002,2.00E-05,90.58295964,77.02702703,,,,,,,,,
12056,3,24,128,8,0.0008,2.00E-05,91.03139013,77.02702703,,,,,,,,,
12066,3,24,90,8,0.001,1.00E-06,90.13452915,77.02702703,,,,,,,,,
12810,3,36,36,4,0.002,1.00E-06,92.37668161,77.02702703,,,,,,,,,
12870,3,36,26,4,0.01,1.00E-06,93.72197309,77.02702703,,,,,,,,,
12891,3,36,94,4,0.02,1.00E-05,91.92825112,77.02702703,,,,,,,,,
12928,3,36,1499,4,0.08,1.00E-06,67.26457399,77.02702703,,,,,,,,,
13326,3,36,19,16,0.008,1.00E-06,93.2735426,77.02702703,,,,,,,,,
13337,3,36,15,16,0.008,2.00E-05,90.13452915,77.02702703,,,,,,,,,
13673,3,36,1499,32,0.1,1.00E-05,73.99103139,77.02702703,,,,,,,,,
16974,4,36,95,8,0.02,1.00E-05,91.03139013,77.02702703,,,,,,,,,
17079,4,36,152,16,0.0004,2.00E-05,90.13452915,77.02702703,,,,,,,,,
13827,4,6,126,4,0.01,1.00E-06,90.13452915,75.67567568,,,,,,,,,
13829,4,6,52,4,0.01,1.00E-06,90.13452915,75.67567568,,,,,,,,,
13838,4,6,560,4,0.01,2.00E-05,91.47982063,75.67567568,,,,,,,,,
13840,4,6,886,4,0.01,2.00E-05,90.13452915,75.67567568,,,,,,,,,
13841,4,6,1499,4,0.02,0,80.71748879,75.67567568,,,,,,,,,
13959,4,6,1197,8,0.0004,2.00E-05,91.03139013,75.67567568,,,,,,,,,
13962,4,6,639,8,0.0008,0,90.58295964,75.67567568,,,,,,,,,
13968,4,6,1174,8,0.0008,1.00E-06,93.2735426,75.67567568,,,,,,,,,
13985,4,6,383,8,0.001,0,91.03139013,75.67567568,,,,,,,,,
14053,4,6,482,8,0.008,1.00E-05,91.03139013,75.67567568,,,,,,,,,
14109,4,6,1499,8,0.04,1.00E-06,68.60986547,75.67567568,,,,,,,,,
14229,4,6,504,16,0.001,1.00E-06,91.47982063,75.67567568,,,,,,,,,
14247,4,6,469,16,0.002,1.00E-06,91.03139013,75.67567568,,,,,,,,,
14268,4,6,155,16,0.004,1.00E-06,91.92825112,75.67567568,,,,,,,,,
14284,4,6,491,16,0.008,0,91.47982063,75.67567568,,,,,,,,,
14465,4,6,649,32,0.001,0,91.47982063,75.67567568,,,,,,,,,
14494,4,6,1008,32,0.002,1.00E-05,93.2735426,75.67567568,,,,,,,,,
14517,4,6,150,32,0.004,2.00E-05,90.13452915,75.67567568,,,,,,,,,
14572,4,6,1499,32,0.02,1.00E-05,82.51121076,75.67567568,,,,,,,,,
14598,4,6,279,32,0.04,2.00E-05,91.03139013,75.67567568,,,,,,,,,
63,1,6,1501,4,0.0004,1.00E-06,90.13452915,75.67567568,,,,,,,,,
108,1,6,645,4,0.001,1.00E-07,90.13452915,75.67567568,,,,,,,,,
173,1,6,562,4,0.004,2.00E-05,92.37668161,75.67567568,,,,,,,,,
302,1,6,1103,4,0.04,0,90.58295964,75.67567568,,,,,,,,,
389,1,6,1999,6,0.0001,1.00E-06,81.16591928,75.67567568,,,,,,,,,
406,1,6,1999,8,0.0002,1.00E-07,85.65022422,75.67567568,,,,,,,,,
417,1,6,1999,8,0.0002,1.00E-05,80.2690583,75.67567568,,,,,,,,,
677,1,6,1999,8,0.1,0,80.2690583,75.67567568,,,,,,,,,
683,1,6,1999,8,0.1,1.00E-07,74.88789238,75.67567568,,,,,,,,,
733,1,6,1999,16,0.0004,1.00E-07,86.9955157,75.67567568,,,,,,,,,
1334,1,12,421,4,0.0004,1.00E-05,90.13452915,75.67567568,,,,,,,,,
1380,1,12,183,4,0.001,2.00E-05,90.13452915,75.67567568,,,,,,,,,
1493,1,12,38,4,0.04,1.00E-05,93.2735426,75.67567568,,,,,,,,,
1502,1,12,81,4,0.08,0,92.82511211,75.67567568,,,,,,,,,
1504,1,12,59,4,0.08,0,91.47982063,75.67567568,,,,,,,,,
1516,1,12,175,4,0.08,2.00E-05,90.13452915,75.67567568,,,,,,,,,
1522,1,12,64,4,0.1,0,91.92825112,75.67567568,,,,,,,,,
1527,1,12,358,4,0.1,1.00E-06,91.47982063,75.67567568,,,,,,,,,
1533,1,12,866,4,0.1,1.00E-05,90.13452915,75.67567568,,,,,,,,,
1536,1,12,596,4,0.1,2.00E-05,90.58295964,75.67567568,,,,,,,,,
1539,1,12,766,4,0.1,2.00E-05,90.13452915,75.67567568,,,,,,,,,
1718,1,12,20,8,0.02,2.00E-05,91.03139013,75.67567568,,,,,,,,,
1729,1,12,19,8,0.04,1.00E-06,94.61883408,75.67567568,,,,,,,,,
1746,1,12,18,8,0.08,1.00E-06,91.92825112,75.67567568,,,,,,,,,
1768,1,12,24,8,0.1,1.00E-06,90.58295964,75.67567568,,,,,,,,,
1770,1,12,214,8,0.1,1.00E-06,90.13452915,75.67567568,,,,,,,,,
1841,1,12,386,16,0.001,0,90.13452915,75.67567568,,,,,,,,,
1920,1,12,50,16,0.008,2.00E-05,90.13452915,75.67567568,,,,,,,,,
1926,1,12,59,16,0.01,1.00E-06,91.92825112,75.67567568,,,,,,,,,
1934,1,12,55,16,0.01,1.00E-05,91.03139013,75.67567568,,,,,,,,,
1943,1,12,30,16,0.02,0,94.61883408,75.67567568,,,,,,,,,
2023,1,12,1499,32,0.0002,0,78.02690583,75.67567568,,,,,,,,,
2042,1,12,1445,32,0.0004,0,90.13452915,75.67567568,,,,,,,,,
2139,1,12,134,32,0.004,2.00E-05,92.37668161,75.67567568,,,,,,,,,
3021,1,24,342,4,0.0004,0,90.58295964,75.67567568,,,,,,,,,
3255,1,24,1008,8,0.0002,1.00E-05,90.13452915,75.67567568,,,,,,,,,
3483,1,24,1311,16,0.0002,0,90.13452915,75.67567568,,,,,,,,,
3499,1,24,1390,16,0.0002,2.00E-05,91.47982063,75.67567568,,,,,,,,,
3582,1,24,68,16,0.004,0,90.58295964,75.67567568,,,,,,,,,
3769,1,24,391,32,0.0008,1.00E-06,90.13452915,75.67567568,,,,,,,,,
3866,1,24,39,32,0.01,1.00E-06,90.58295964,75.67567568,,,,,,,,,
3871,1,24,46,32,0.01,1.00E-05,90.13452915,75.67567568,,,,,,,,,
3908,1,24,13,32,0.04,1.00E-06,90.13452915,75.67567568,,,,,,,,,
3916,1,24,14,32,0.04,2.00E-05,92.82511211,75.67567568,,,,,,,,,
4579,1,36,122,4,0.001,2.00E-05,90.13452915,75.67567568,,,,,,,,,
4674,1,36,17,4,0.02,1.00E-05,95.06726457,75.67567568,,,,,,,,,
4783,1,36,160,8,0.0008,0,90.13452915,75.67567568,,,,,,,,,
4985,1,36,1155,16,0.0002,0,91.92825112,75.67567568,,,,,,,,,
5064,1,36,121,16,0.002,0,91.47982063,75.67567568,,,,,,,,,
5072,1,36,100,16,0.002,1.00E-05,90.13452915,75.67567568,,,,,,,,,
5295,1,36,316,32,0.001,1.00E-05,90.58295964,75.67567568,,,,,,,,,
5344,1,36,40,32,0.008,0,90.13452915,75.67567568,,,,,,,,,
5349,1,36,40,32,0.008,1.00E-06,90.13452915,75.67567568,,,,,,,,,
5351,1,36,41,32,0.008,1.00E-05,90.58295964,75.67567568,,,,,,,,,
5390,1,36,24,32,0.02,1.00E-06,95.51569507,75.67567568,,,,,,,,,
6055,2,6,282,4,0.0008,1.00E-05,90.13452915,75.67567568,,,,,,,,,
6137,2,6,123,4,0.008,2.00E-05,90.58295964,75.67567568,,,,,,,,,
